sequence,seqid,label
MNRR NRRE RREF REFL EFLL FLLN LLNS LNST NSTK STKT TKTM KTMF TMFG MFGT FGTA GTAA TAAL AALA ALAS LASF ASFP SFPL FPLS PLSI LSIQ SIQK IQKA QKAL KALA ALAI LAID AIDA IDAK DAKV AKVE KVES VESG ESGT SGTI GTIQ TIQD IQDV QDVK DVKH VKHI KHIV HIVI IVIL VILT ILTQ LTQE TQEN QENR ENRS NRSF RSFD SFDN FDNY DNYF NYFG YFGT FGTL GTLK TLKG LKGV KGVR GVRG VRGF RGFG GFGD FGDR GDRF DRFT RFTI FTIP TIPM IPMT PMTE MTEG TEGR EGRK GRKV RKVW KVWE VWEQ WEQY EQYD QYDA YDAN DANK ANKK NKKK KKKV KKVL KVLP VLPY LPYH PYHL YHLD HLDS LDSH DSHL SHLG HLGN LGNA GNAQ NAQR AQRV QRVT RVTG VTGT TGTN GTNH TNHS NHSW HSWS SWSD WSDG SDGQ DGQG GQGA QGAW GAWD AWDN WDNG DNGR NGRM GRMS RMSD MSDW SDWV DWVT WVTH VTHK THKQ HKQP KQPQ QPQS PQSM QSMG SMGY MGYY GYYK YYKK YKKQ KKQE KQEV QEVE EVEY VEYQ EYQF YQFA QFAL FALA ALAN LANA ANAF NAFT AFTI FTIC TICD ICDA CDAY DAYH AYHC YHCA HCAM CAMH AMHA MHAG HAGT AGTN GTNP TNPN NPNR PNRK NRKF RKFI KFIW FIWT IWTG WTGT TGTN GTNG TNGP NGPT GPTG PTGA TGAG GAGV AGVA GVAS VASV ASVV SVVN VVNE VNEF NEFD EFDG FDGI DGIG GIGP IGPS GPST PSTE STEG TEGY EGYE GYEW YEWT EWTT WTTY TTYP TYPE YPER PERL ERLQ RLQQ LQQA QQAG QAGV AGVT GVTW VTWK TWKV WKVY KVYQ VYQN YQNM QNMP NMPD MPDN PDNF DNFT NFTD FTDN TDNP DNPL NPLA PLAG LAGF AGFK GFKQ FKQY KQYR QYRR YRRA RRAN,VFG037176,VFC0235
MITR ITRR TRRK RRKF RKFL KFLN FLNY LNYS NYSL YSLN SLNM LNMG NMGF MGFG GFGA FGAA GAAA AAAL AALA ALAA LAAF AAFP AFPS FPSS PSSI SSIQ SIQK IQKA QKAL KALA ALAI LAIP AIPA IPAN PANN ANNK NNKT NKTG KTGT TGTI GTIQ TIQD IQDV QDVE DVEH VEHV EHVI HVII VIIL IILM ILMQ LMQE MQEN QENR ENRS NRSF RSFD SFDH FDHY DHYF HYFG YFGT FGTL GTLK TLKG LKGV KGVR GVRG VRGF RGFA GFAD FADR ADRF DRFT RFTI FTIP TIPL IPLP PLPN LPNG PNGR NGRR GRRV RRVW RVWE VWEQ WEQL EQLR QLRS LRSN RSNG SNGQ NGQV GQVL QVLT VLTP LTPF TPFH PFHL FHLD HLDG LDGT DGTA GTAN TANN ANNA NNAQ NAQR AQRA QRAD RADG ADGT DGTP GTPH TPHT PHTW HTWD TWDD WDDS DDSQ DSQL SQLA QLAW LAWD AWDN WDNG DNGR NGRM GRMA RMAN MANW ANWP NWPT WPTH PTHK THKT HKTD KTDI TDIS DISM ISMG SMGY MGYF GYFK YFKE FKEK KEKE EKEI KEIP EIPY IPYQ PYQF YQFA QFAL FALA ALAN LANA ANAF NAFT AFTI FTIC TICD ICDA CDAY DAYH AYHC YHCS HCSM CSMH SMHT MHTG HTGT TGTD GTDA TDAN DANR ANRS NRSF RSFH SFHL FHLT HLTG LTGT TGTN GTNG TNGA NGAT GATP ATPT TPTK PTKR TKRS KRSF RSFV SFVN FVNN VNNE NNEW NEWD EWDW WDWI DWID WIDG IDGN DGNP GNPA NPAT PATA ATAD TADR ADRG DRGY RGYT GYTW YTWK TWKT WKTY KTYA TYAE YAER AERL ERLE RLEE LEEA EEAG EAGI AGIS GISW ISWI SWIC WICY ICYQ CYQN YQNM QNMP NMPD MPDE PDEW DEWG EWGD WGDN GDNM DNML NMLG MLGA LGAF GAFR AFRS,VFG037177,VFC0235
MAQS AQSF QSFH SFHS FHSK HSKQ SKQL KQLQ QLQT LQTH QTHQ THQL HQLA QLAN LANG ANGF NGFL GFLI FLIK LIKA IKAS KASI ASIV SIVV IVVC VVCS VCSS CSSF SSFA SFAV FAVA AVAL VALT ALTG LTGC TGCS GCST CSTL STLP TLPK LPKH PKHS KHSP HSPE SPEP PEPI EPIQ PIQY IQYA QYAR YARD ARDI RDID DIDT IDTS DTSQ TSQT SQTS QTSL TSLS SLSK LSKI SKII KIIT IITP ITPL TPLR PLRE LREK REKN EKNP KNPN NPNL PNLT NLTG LTGY TGYH GYHL YHLL HLLN LLND LNDP NDPL DPLE PLEA LEAL EALA ALAA LAAR AARL ARLR RLRL LRLI RLID LIDK IDKA DKAE KAEK AEKT EKTL KTLD TLDL LDLQ DLQY LQYY QYYI YYIW YIWD IWDN WDND DNDK NDKV DKVG KVGA VGAL GALA ALAL LALH ALHA LHAI HAII AIIR IIRA IRAA RAAD AADR ADRG DRGV RGVK GVKV VKVR KVRL VRLL RLLI LLID LIDD IDDN DDNN DNNA NNAK NAKK AKKM KKME KMEG MEGV EGVL GVLL VLLA LLAL LALS ALSQ LSQH SQHK QHKN HKNI KNIE NIEV IEVK EVKL VKLF KLFN LFNP FNPY NPYR PYRF YRFR RFRK FRKY RKYR KYRA YRAM RAMD AMDM MDMI DMIL MILD ILDL LDLK DLKR LKRI KRIN RINR INRR NRRM RRMH RMHN MHNK HNKS NKSF KSFI SFIA FIAD IADN ADNQ DNQV NQVA QVAL VALI ALIG LIGG IGGR GGRN GRNM RNMT NMTN MTNQ TNQY NQYY QYYN YYNV YNVS NVSD VSDS SDSY DSYQ SYQF YQFS QFSD FSDV SDVD DVDV VDVM DVML VMLV MLVG LVGA VGAA GAAV AAVD AVDD VDDI DDIV DIVN IVNS VNSF NSFD SFDD FDDY DDYW DYWN YWNH WNHE NHEY HEYA EYAY YAYS AYSV YSVQ,VFG037203,VFC0235
MMQT MQTQ QTQI TQIS QISV ISVE SVEQ VEQN EQNL QNLD NLDH LDHI DHIG HIGQ IGQK GQKK QKKF KKFS KFSC FSCF SCFS CFST FSTK STKN TKNY KNYY NYYL YYLE YLEV LEVN EVNE VNEF NEFV EFVK FVKT VKTL KTLN TLNT LNTP NTPA TPAA PAAN AANT ANTA NTAL TALL ALLN LLNE LNEE NEEI EEIA EIAK IAKC AKCF KCFE CFEE FEEI EEIK EIKK IKKQ KKQG KQGH QGHQ GHQN HQNP QNPV NPVL PVLI VLIG LIGA IGAI GAIP AIPF IPFD PFDI FDIT DITK ITKK TKKS KKSS KSSL SSLN SLNF LNFY NFYA FYAD YADH ADHK DHKK HKKI KKIT KITQ ITQS TQSS QSSS SSST SSTI STIN TINS INSL NSLK SLKN LKNR KNRN NRNN RNNI NNIE NIEI IEII EIIN IINK INKS NKSL KSLL SLLI LLIQ LIQR IQRQ QRQK RQKF QKFE KFEG FEGT EGTV GTVQ TVQL VQLA QLAL LALD ALDA LDAF DAFE AFEK FEKK EKKK KKKV KKVE KVEK VEKV EKVV KVVL VVLS VLSQ LSQA SQAV QAVE AVEY VEYE EYEF YEFN EFNR FNRH NRHQ RHQE HQEP QEPE EPEN PENL ENLL NLLA LLAA LAAL AALL ALLK LLKQ LKQN KQNP QNPN NPNA PNAY NAYN AYNF YNFV NFVI FVIP VIPV IPVE PVEH VEHN EHNN HNNY NNYI NYIL YILG ILGA LGAS GASP ASPE SPEL PELL ELLL LLLS LLSK LSKQ SKQG KQGR QGRI GRIV RIVT IVTS VTSN TSNP SNPL NPLA PLAG LAGS AGSR GSRP SRPK RPKS PKSQ KSQI SQIS QISE ISEK SEKN EKNF KNFV NFVS FVSQ VSQQ SQQE QQEL QELN ELNH LNHS NHSE HSEK SEKD EKDQ KDQH DQHE QHEH HEHR EHRI HRIV RIVV IVVE VVEN VENI ENII NIIR IIRN IRNL RNLA NLAT LATH ATHC,VFG037218,VFC0272
MNTK NTKK TKKQ KKQL KQLS QLSR LSRG SRGA RGAN GANS ANSC NSCL SCLD CLDE LDEI DEIN EINI INIQ NIQY IQYE QYEK YEKL EKLT KLTA LTAF TAFG AFGI FGID GIDI IDIH DIHK IHKV HKVQ KVQL VQLS QLSE LSEI SEIK EIKE IKEI KEIP EIPQ IPQL PQLD QLDH LDHI DHIY HIYQ IYQE YQEL QELN ELNI LNIF NIFL IFLP FLPP LPPN PPNI PNIK NIKS IKSS KSSR SSRF SRFI RFIR FIRQ IRQL RQLE QLEF LEFL EFLT FLTG LTGR TGRL GRLA RLAA LAAK AAKY AKYA KYAL YALQ ALQR LQRF QRFN RFNL FNLQ NLQD LQDS QDSI DSIV SIVH IVHQ VHQG HQGK QGKQ GKQG KQGE QGEP GEPL EPLW PLWP LWPE WPEG PEGV EGVM GVMG VMGG MGGI GGIS GISH ISHV SHVG HVGS VGSK GSKK SKKS KKSC KSCH SCHA CHAI HAIA AIAY IAYV AYVR YVRN VRNN RNNT NNTL NTLK TLKE LKEK KEKI EKIF KIFG IFGI FGID GIDI IDIE DIES IESQ ESQK SQKH QKHH KHHI HHIF HIFF IFFQ FFQK FQKK QKKD KKDE KDEF DEFY EFYD FYDV YDVF DVFL VFLN FLNK LNKN NKNE KNEQ NEQA EQAE QAEI AEIE EIEK IEKL EKLL KLLK LLKD LKDQ KDQA DQAY QAYL AYLY YLYL LYLV YLVI LVIF VIFS IFSA FSAK SAKE AKES KESI ESII SIIK IIKA IKAF KAFY AFYL FYLK YLKY LKYK KYKQ YKQI KQII QIID IIDF IDFK DFKN FKNI KNIK NIKF IKFK KFKA FKAL KALD ALDG LDGA DGAF GAFL AFLY FLYF LYFY YFYL FYLR YLRQ LRQE RQES QESL ESLI SLIE LIEI IEIT EITL ITLE TLEV LEVK EVKV VKVY KVYF VYFF YFFH FFHT FHTN HTNN TNNE NNEI NEII EIIT IITI ITIS TISC ISCI SCIE CIEN,VFG037232,VFC0272
MNKH NKHQ KHQY HQYN QYNM YNMF NMFC MFCL FCLP CLPP LPPA PPAG PAGS AGSS GSSA SSAS SASI ASIY SIYH IYHP YHPW HPWK PWKK WKKQ KKQI KQIS QISD ISDN SDNI DNIR NIRI IRII RIIP IIPI IPIE PIEY IEYS EYSG YSGH SGHG GHGI HGIK GIKI IKIN KINE INEP NEPL EPLI PLID LIDD IDDP DDPD DPDL PDLL DLLA LLAM LAMQ AMQI MQIA QIAN IANE ANEI NEIQ EIQA IQAY QAYS AYSD YSDT SDTP DTPF TPFI PFIL FILF ILFG LFGH FGHS GHSV HSVG SVGG VGGG GGGL GGLI GLIW LIWK IWKV WKVL KVLN VLNY LNYL NYLN YLNE LNEK NEKP EKPI KPII PIID IIDQ IDQL DQLR QLRL LRLI RLIV LIVI IVIS VISS ISSR SSRP SRPE RPEH PEHH EHHY HHYI HYIQ YIQH IQHM QHMR HMRY MRYK RYKH YKHE KHEL HELT ELTD LTDE TDEK DEKI EKII KIID IIDE IDEL DELK ELKR LKRY KRYN RYNN YNNF NNFP NFPD FPDE PDEI DEIL EILN ILNN LNNQ NNQE NQEA QEAL EALT ALTF LTFF TFFL FFLK FLKI LKII KIIR IIRN IRND RNDF NDFY DFYL FYLS YLSD LSDQ SDQL DQLL QLLS LLSE LSEK SEKI EKIH KIHK IHKT HKTE KTEV TEVP EVPI VPIV PIVA IVAF VAFY AFYG FYGK YGKQ GKQD KQDP QDPD DPDI PDIP DIPN IPNK PNKR NKRM KRMM RMMD MMDA MDAW DAWQ AWQQ WQQH QQHT QHTE HTEN TENW ENWL NWLG WLGS LGSI GSIE SIEF IEFE EFEG FEGD EGDH GDHF DHFY HFYF FYFL YFLN FLNP LNPE NPET PETR ETRV TRVK RVKM VKML KMLE MLEN LENI ENIA NIAA IAAI AAIV AIVE IVET VETL ETLT TLTV LTVN TVNI VNIE,VFG037246,VFC0272
MNTP NTPA TPAK PAKL AKLN KLNK LNKD NKDQ KDQI DQIF QIFS IFSM FSML SMLP MLPR LPRA PRAA RAAK AAKQ AKQK KQKL QKLI KLII LIIV IIVG IVGI VGIG GIGW IGWI GWII WIIV IIVA IVAA VAAI AAIE AIEA IEAI EAIA AIAY IAYT AYTV YTVL TVLA VLAF LAFA AFAI FAIV AIVN IVNQ VNQW NQWS QWSP WSPS SPSW PSWV SWVL WVLI VLIS LISA ISAI SAIA AIAA IAAI AAIL AILV ILVT LVTV VTVI TVIV VIVT IVTR VTRA TRAG RAGF AGFL GFLT FLTG LTGV TGVR GVRL VRLA RLAG LAGD AGDL GDLF DLFA LFAE FAEL AELG ELGK LGKS GKSL KSLA SLAR LARA ARAK RAKL AKLS KLSW LSWF SWFT WFTN FTNE TNEQ NEQR EQRA QRAQ RAQI AQIK QIKT IKTI KTIA TIAG IAGQ AGQG GQGI QGIP GIPG IPGF PGFM GFMS FMSI MSIP SIPA IPAH PAHQ AHQL HQLQ QLQT LQTF QTFL TFLH FLHA LHAP HAPF APFM PFMP FMPL MPLF PLFL LFLT FLTI LTIG TIGI IGIG GIGL IGLL GLLA LLAG LAGA AGAG GAGV AGVA GVAF VAFV AFVA FVAL VALG ALGL LGLL GLLL LLLL LLLS LLSL LSLF SLFA LFAQ FAQF AQFL QFLA FLAQ LAQR AQRA QRAL RALM ALMH LMHI MHID HIDK IDKK DKKR KKRN KRNT RNTA NTAD TADL ADLA DLAA LAAS AASQ ASQA SQAT QATL ATLE TLEL LELV ELVD LVDH VDHV DHVE HVEL VELL ELLR LLRT LRTA RTAA TAAG AAGP AGPE GPER PERA ERAV RAVQ AVQR VQRL QRLE RLEH LEHR EHRW HRWE RWEE WEEQ EEQE EQEE QEET EETL ETLV TLVR LVRI VRIN RINR INRA NRAA RAAA AAAF AAFA AFAS FASF ASFI SFIA FIAT IATL ATLA TLAS LASV ASVL SVLP VLPI,VFG037260,VFC0272
MSDL SDLK DLKL LKLS KLSH LSHL SHLM HLMT LMTD MTDS TDSS DSSL SSLA SLAP LAPA APAL PALK ALKP LKPA KPAF PAFP AFPK FPKL PKLF KLFA LFAG FAGT AGTL GTLA TLAA LAAV AAVF AVFS VFSG FSGL SGLA GLAI LAIL AILT ILTA LTAL TALW ALWG LWGM WGMI GMIQ MIQL IQLI QLIG LIGY IGYL GYLS YLSS LSSY SSYW SYWV YWVI WVIF VIFS IFSA FSAV SAVF AVFW VFWI FWIV WIVG IVGA VGAA GAAL AALA ALAA LAAL AALA ALAS LASW ASWL SWLV WLVH LVHD VHDA HDAE DAEA AEAG EAGF AGFS GFSA FSAR SARL ARLR RLRR LRRQ RRQI RQIA QIAH IAHH AHHL HHLI HLIR LIRL IRLP RLPN LPNT PNTT NTTL TTLS TLSK LSKQ SKQG KQGD QGDQ GDQN DQNL QNLK NLKR LKRL KRLV RLVS LVSD VSDD SDDI DDIA DIAT IATL ATLH TLHH LHHM HHMV HMVA MVAH VAHL AHLP HLPS LPSE PSEI SEIA EIAI IAIF AIFA IFAV FAVI AVIP VIPL IPLV PLVS LVSI VSII SIIL IILL ILLI LLIA LIAL IALV ALVG LVGP VGPM GPMA PMAL MALW ALWV LWVL WVLL VLLP LLPG LPGA PGAI GAIA AIAS IASL ASLY SLYY LYYL YYLI YLII LIIV IIVP IVPH VPHV PHVS HVSK VSKR SKRD KRDG RDGA DGAA GAAR AARM ARMQ RMQV MQVM QVML VMLD MLDI LDII DIIG IIGS IGSA GSAD SADD ADDY DDYA DYAR YARG ARGI RGIR GIRD IRDN RDNR DNRI NRIY RIYG IYGQ YGQQ GQQS QQSG QSGA SGAL GALT ALTA LTAY TAYI AYIQ YIQS IQSA QSAQ SAQN AQNF QNFT NFTQ FTQN TQNM QNMV NMVS MVSW VSWV SWVS WVSK VSKV SKVA KVAT VATL ATLA TLAA LAAV AAVA AVAT VATA ATAL TALL,VFG037274,VFC0272
MILS ILSP LSPA SPAD PADQ ADQE DQER QERI ERIE RIET IETF ETFW TFWN FWNY WNYC NYCL YCLK CLKH LKHQ KHQY HQYF QYFN YFNI FNIG NIGY IGYP GYPE YPES PESA ESAD SADF ADFD DFDY FDYS DYSA YSAL SALF ALFR LFRF FRFF RFFK FFKF FKFS KFSI FSIN SINN INNC NNCG NCGD CGDW GDWK DWKD WKDY KDYS DYSN YSNY SNYA NYAL YALN ALNS LNSF NSFD SFDF FDFE DFEK FEKD EKDV KDVM DVMA VMAY MAYF AYFA YFAE FAEI AEIF EIFQ IFQI FQIP QIPF IPFE PFEE FEES EESW ESWG SWGY WGYV GYVT YVTN VTNG TNGG NGGT GGTE GTEG TEGN EGNM GNMF NMFG MFGC FGCY GCYL CYLA YLAR LARE AREL RELF ELFP LFPD FPDS PDST DSTL STLY TLYY LYYS YYSK YSKD SKDT KDTH DTHY THYS HYSV YSVR SVRK VRKI RKIA KIAK IAKL AKLL KLLQ LLQM LQMK QMKS MKSC KSCV SCVI CVIE VIES IESL ESLD SLDN LDNG DNGE NGEI GEID EIDY IDYD DYDD YDDL DDLI DLIH LIHK IHKI HKIK KIKT IKTN KTNK TNKE NKES KESH ESHP SHPI HPII PIIF IIFA IFAN FANI ANIG NIGT IGTT GTTM TTMT TMTG MTGA TGAI GAID AIDD IDDI DDIE DIEM IEMI EMIQ MIQE IQER QERL ERLA RLAQ LAQI AQIG QIGI IGIM GIMR IMRR MRRD RRDY RDYY DYYI YYIH YIHA IHAD HADA ADAA DAAL AALS ALSG LSGM SGMI GMIL MILP ILPF LPFV PFVD FVDH VDHP DHPQ HPQA PQAF QAFS AFSF FSFA SFAH FAHG AHGI HGID GIDS IDSI DSIC SICV ICVS CVSG VSGH SGHK GHKM HKMI KMIG MIGS IGSP GSPI SPIP PIPC IPCG PCGI CGIV GIVV IVVA VVAK VAKR AKRQ KRQN RQNV,VFG037288,VFC0272
MAIS AISK ISKI SKIS KIST ISTY STYL TYLM YLMP LMPE MPER PERE ERES RESY ESYP SYPN YPNN PNNK NNKT NKTD KTDW TDWQ DWQL WQLD QLDP LDPS DPSR PSRA SRAV RAVL AVLL VLLI LLIH LIHD IHDM HDMQ DMQR MQRY QRYF RYFL YFLN FLNF LNFY NFYD FYDA YDAE DAES AESE ESEL SELI ELIK LIKT IKTV KTVV TVVN VVNH VNHL NHLV HLVQ LVQL VQLR QLRT LRTW RTWA TWAH WAHQ AHQN HQNN QNNV NNVP NVPV VPVV PVVY VVYT VYTA YTAQ TAQP AQPY QPYE PYEQ YEQP EQPA QPAA PAAD AADR ADRA DRAL RALL ALLN LLNA LNAM NAMW AMWG MWGP WGPG GPGL PGLP GLPA LPAS PAST ASTI STID TIDQ IDQQ DQQK QQKI QKII KIID IIDQ IDQL DQLS QLSP LSPA SPAE PAEH AEHD EHDI HDIV DIVL IVLT VLTK LTKW TKWR KWRY WRYS RYSA YSAF SAFK AFKR FKRS KRSD RSDL SDLL DLLE LLER LERM ERMQ RMQN MQNW QNWN NWNR WNRD NRDQ RDQL DQLI QLII LIIG IIGG IGGV GGVY GVYA VYAH YAHI AHIG HIGC IGCM GCMV CMVT MVTA VTAI TAIE AIEA IEAF EAFM AFMS FMSD MSDI SDIQ DIQP IQPF QPFL PFLV FLVG LVGD VGDA GDAV DAVA AVAD VADF ADFS DFSE FSEE SEEE EEEH EEHR EHRL HRLA RLAL LALK ALKY LKYV KYVS YVSS VSSR SSRC SRCG RCGQ CGQV GQVV QVVD VVDT VDTE DTES TESV ESVV SVVG VVGQ VGQV GQVA QVAT VATG ATGI TGIT GITR ITRP TRPW RPWL PWLE WLEQ LEQK EQKV QKVQ KVQQ VQQL QQLI QLIE LIEE IEED EEDE EDEL DELD ELDP LDPE DPEE PEEN EENL ENLI NLIL LILY ILYG LYGL YGLD GLDS LDSL DSLR SLRI LRIM RIMQ,VFG037302,VFC0272
